,show_id,title,director,cast,country,date_added,release_year,age_certification,duration,listed_in,description_x,index,id,type,description_y,runtime,imdb_id,imdb_score,imdb_votes
30,s74,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,"September 14, 2021",2018,TV-MA,182 min,"Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",2768,tm449860,MOVIE,"The story of Alhaja Eniola Salami, a businesswoman and philanthropist with a checkered past and a promising political future. As her political ambitions see her outgrowing the underworld connections responsible for her considerable wealth, she's drawn into a power struggle that threatens everything she holds dear.",169,tt8329618,6.1,404.0
31,s75,The World's Most Amazing Vacation Rentals,,,,"September 14, 2021",2021,TV-PG,2 Seasons,Reality TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",5027,ts309676,SHOW,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",35,tt14691382,6.7,1278.0
32,s76,You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",,"September 14, 2021",2021,TV-G,106 min,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",5126,tm1095880,MOVIE,"Follows Bear Grylls after a plane crash in the ice ravaged mountains, where he finds himself with amnesia and tries to save himself and the pilot from the harsh winter elements.",25,tt15250050,5.3,102.0
33,s77,Yowamushi Pedal,,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",Japan,"September 14, 2021",2013,TV-14,1 Season,"Anime Series, International TV Shows","A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",946,ts20709,SHOW,"Sakamichi Onada is a wimpy high school freshman who loves anime. He initially wants to enter the anime club, but winds up joining the cycling club after meeting two classmates who are already famous cyclists. He undertakes the grueling training to compete in races, and discovers his own hidden talent in cycling.",24,tt2942228,7.7,808.0
34,s82,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,"September 10, 2021",2021,R,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",4534,tm1046932,MOVIE,A ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.,106,tt7737528,6.2,57689.0
35,s84,Metal Shop Masters,,Jo Koy,,"September 10, 2021",2021,TV-MA,1 Season,Reality TV,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",5128,ts305732,SHOW,"A group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",0,tt15216520,5.6,546.0
36,s87,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",,"September 10, 2021",2021,TV-MA,87 min,"International Movies, Thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,4759,tm1087932,MOVIE,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,87,tt15198608,4.3,7084.0
37,s89,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",,"September 9, 2021",2021,PG-13,96 min,"Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",4917,tm1084481,MOVIE,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",95,tt15095938,6.9,906.0
38,s91,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath","Spain, United States","September 9, 2021",2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",3240,tm358770,MOVIE,"A young woman is sent to Paradise Hills to be reformed, only to learn that the high-class facility's beautiful facade hides a sinister secret.",95,tt6127004,5.3,22298.0
39,s92,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",,France,"September 9, 2021",2021,TV-14,92 min,"Documentaries, International Movies",This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,5048,tm1094069,MOVIE,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,92,tt15216504,6.4,1158.0
40,s94,JJ+E,Alexis Almström,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",,"September 8, 2021",2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies","Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",5145,tm1087383,MOVIE,"Elisabeth and John-John live in the same city, but they inhabit different worlds.",90,tt12299824,5.3,1658.0
41,s95,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale","United Kingdom, United States","September 8, 2021",2018,PG,90 min,"Children & Family Movies, Comedies",A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,2360,tm330869,MOVIE,"Starring Will Arnett, Chris ""Ludacris"" Bridges, Natasha Lyonne, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Alan Cumming, and Stanley Tucci, SHOW DOGS is a family comedy about the unlikely pairing of a human detective (Arnett) and his canine partner (voice of Chris ""Ludacris"" Bridges), who has to go undercover at the world's most exclusive dog show to solve his biggest case yet.",90,tt5691024,3.9,4653.0
42,s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,"September 7, 2021",2018,TV-MA,97 min,"Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",2009,tm411415,MOVIE,"The story of Lynyrd Skynyrd; The Greatest American Rock Band Ever. We fly beyond Free Bird to celebrate the life & times of leader Ronnie Van Zant, from boogie-woogie beginnings in Jacksonvilleâ€™s Shantytown to a tragic end in a Mississippi swamp.",94,tt6216786,7.9,1285.0
43,s98,Kid Cosmic,,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",United States,"September 7, 2021",2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,4870,ts104362,SHOW,"A young boy who dreams of becoming a hero, stumbles across some cosmic stones of power. His dreams appear to have come true.",23,tt9248538,7.9,1354.0
44,s99,Octonauts: Above & Beyond,,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,"September 7, 2021",2021,TV-Y,1 Season,"British TV Shows, Kids' TV","The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",4772,ts306510,SHOW,"The Octonauts expand their exploration beyond the sea -- and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",25,tt15211330,7.4,66.0
45,s100,On the Verge,,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States","September 7, 2021",2021,TV-MA,1 Season,"TV Comedies, TV Dramas","Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",4693,ts307925,SHOW,"Four women, a chef, a single mom, an heiress, and a job seeker dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",32,tt5540990,6.5,2841.0
